LEC1	133.12	1	147	63	58
LEC2	133.23	2	124	133	42
LEC3	155.23	3	123	62	93
LEC4	172.67	3	34	139	61
LEC5	146.98	3	61	52	116
LEC6	112.56	3	88	50	48
LEC7	80.987	4	89	136	87
LEC8	74.345	4	96	166	81
LEC9	90.56	1	94	170	68
LEC10	182	3	36	71	41
LEC11	113	2	33	165	97
LEC12	174.9	2	117	107	64
LEC13	112	3	50	166	60
LEC14	93.078	3	114	100	114
LEC15	118	3	139	76	72
LEC16	91.098	1	49	87	114
LEC17	106.97	1	40	122	110
LEC18	110.34	4	129	143	106
LEC19	73.056	4	41	169	117
LEC20	159.9	3	130	83	96
LEC21	192	3	57	121	51
LEC22	81	4	39	81	92
LEC23	160	3	98	142	111
LEC24	157.09	4	106	70	111
LEC25	74	4	90	174	105
LEC26	88.076	3	62	81	106
LEC27	199	3	32	123	67
LEC28	164	1	144	111	94
LEC29	111	2	130	165	70
LEC30	129	3	43	71	87
LEC31	106	4	70	144	103
LEC32	122	2	65	136	116
LEC33	75.098	4	32	56	111
LEC34	72.076	4	104	59	50
LEC35	126.76	3	34	172	53
LEC36	128.74	3	95	167	80
LEC37	87.054	4	69	140	88
LEC38	151	1	78	62	104
LEC39	195	2	78	82	111
LEC40	177.87	1	149	75	74
